event,packet_type,node,src,seq,bytes,time_ms,payload_time_ms,sim_time_ms,send_ms,recv_ms,delay_ms,line_number,raw_line
TX,REAL,3,,3,48,67918.0,67254,67918.0,,,,185,67918000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=3 bytes=48 time_ms=67254
RX,REAL,,3,3,48,67983.168,67480,67983.168,67254,67480,65.16800000000512,186,67983168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=3 send_ms=67254 recv_ms=67480 bytes=48
TX,REAL,2,,4,48,68014.0,67151,68014.0,,,,187,68014000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=4 bytes=48 time_ms=67151
RX,REAL,,2,4,48,68057.88,67554,68057.88,67151,67554,43.88000000000466,189,68057880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=4 send_ms=67151 recv_ms=67554 bytes=48
TX,REAL,5,,3,48,68327.0,67990,68327.0,,,,191,68327000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=3 bytes=48 time_ms=67990
RX,REAL,,5,3,48,68344.168,67841,68344.168,67990,67841,17.168000000005122,192,68344168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=3 send_ms=67990 recv_ms=67841 bytes=48
TX,REAL,6,,5,48,74378.0,73439,74378.0,,,,194,74378000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=5 bytes=48 time_ms=73439
RX,REAL,,6,5,48,74412.88,73909,74412.88,73439,73909,34.88000000000466,195,74412880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=5 send_ms=73439 recv_ms=73909 bytes=48
TX,REAL,7,,6,48,75188.0,74869,75188.0,,,,197,75188000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=6 bytes=48 time_ms=74869
TX,DUMMY,7,,2,48,75189.0,74870,75189.0,,,,198,75189000	ID:7	[INFO: Metric    ] METRIC_TX type=DUMMY node=7 seq=2 bytes=48 time_ms=74870
RX,REAL,,7,6,48,75195.88,74692,75195.88,74869,74692,7.880000000004657,199,75195880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=6 send_ms=74869 recv_ms=74692 bytes=48
RX,DUMMY,,7,2,48,75201.88,74698,75201.88,74870,74698,,200,75201880	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=7 seq=2 send_ms=74870 recv_ms=74698 bytes=48
TX,REAL,4,,4,48,75580.0,75287,75580.0,,,,203,75580000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=4 bytes=48 time_ms=75287
TX,DUMMY,4,,0,48,75581.0,75288,75581.0,,,,204,75581000	ID:4	[INFO: Metric    ] METRIC_TX type=DUMMY node=4 seq=0 bytes=48 time_ms=75288
RX,REAL,,4,4,48,75617.168,75114,75617.168,75287,75114,37.16800000000512,205,75617168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=4 send_ms=75287 recv_ms=75114 bytes=48
RX,DUMMY,,4,0,48,75675.168,75172,75675.168,75288,75172,,206,75675168	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=4 seq=0 send_ms=75288 recv_ms=75172 bytes=48
TX,REAL,2,,5,48,78015.0,77152,78015.0,,,,209,78015000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=5 bytes=48 time_ms=77152
RX,REAL,,2,5,48,78058.88,77555,78058.88,77152,77555,43.88000000000466,210,78058880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=5 send_ms=77152 recv_ms=77555 bytes=48
TX,REAL,5,,4,48,79328.0,78991,79328.0,,,,212,79328000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=4 bytes=48 time_ms=78991
RX,REAL,,5,4,48,79381.168,78878,79381.168,78991,78878,53.16800000000512,213,79381168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=4 send_ms=78991 recv_ms=78878 bytes=48
TX,REAL,3,,4,48,79919.0,79255,79919.0,,,,216,79919000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=4 bytes=48 time_ms=79255
