accuracy_drop,baseline_acc,baseline_f1_macro,byte_count_mean,byte_overhead_ratio,correlation_drop,dataset,defended_acc,defended_f1_macro,delay_proxy_available,dummy_byte_count_mean,dummy_packet_count_mean,dummy_packet_ratio,energy_metric_available,energy_mj_mean,energy_overhead_ratio,f1_macro,input_shape,is_hardware_measurement,mae,mean_delay_ms,mean_iat_ms,method,metric_type,mode,model_type,mse,num_classes,p95_delay_ms,p95_iat_ms,packet_overhead_ratio,pearson_r,pkt_count_mean,real_byte_count_mean,real_packet_count_mean,relative_accuracy_drop_percent,section,seed,source_files,source_log_files,test_size,traffic_activity_correlation_after,traffic_activity_correlation_before,train_size,val_size
0.0894039735099337,0.4718543046357616,0.4247204184595225,,,,mock,0.3824503311258278,0.2987848129403864,,,,,,,,,,,0.373469471633857,,,adaptive_ldp,,retrain_attacker,mlp,0.8538681348697145,,,,,0.1481763884306514,,,,18.947368421052637,mock,2026,outputs/experiments/mock/seed_2026/mlp/baseline/baseline_confusion.json;outputs/experiments/mock/seed_2026/mlp/adaptive_ldp/retrain_attacker/confusion.json;outputs/experiments/mock/seed_2026/mlp/adaptive_ldp/retrain_attacker/defense_report.json,,,,,,
0.3509933774834437,0.4718543046357616,0.4247204184595225,,,,mock,0.1208609271523178,0.0431314623338257,,,,,,,,,,,0.5145102493540279,,,ldp,,fixed_attacker,mlp,1.0068559036453752,,,,,0.1061225329079921,,,,74.3859649122807,mock,2026,outputs/experiments/mock/seed_2026/mlp/baseline/baseline_confusion.json;outputs/experiments/mock/seed_2026/mlp/ldp/fixed_attacker/confusion.json;outputs/experiments/mock/seed_2026/mlp/ldp/fixed_attacker/defense_report.json,,,,,,
0.2417218543046357,0.4718543046357616,0.4247204184595225,,,,mock,0.2301324503311258,0.1722683589444395,,,,,,,,,,,0.5145102493540279,,,ldp,,retrain_attacker,mlp,1.0068559036453752,,,,,0.1061225329079921,,,,51.2280701754386,mock,2026,outputs/experiments/mock/seed_2026/mlp/baseline/baseline_confusion.json;outputs/experiments/mock/seed_2026/mlp/ldp/retrain_attacker/confusion.json;outputs/experiments/mock/seed_2026/mlp/ldp/retrain_attacker/defense_report.json,,,,,,
0.2599337748344371,0.4718543046357616,0.4247204184595225,,,,mock,0.2119205298013245,0.1242147786567918,,,,,,,,,,,0.5005296539653346,,,noise,,fixed_attacker,mlp,0.5015420825948257,,,,,0.2088061834499174,,,,55.08771929824562,mock,2026,outputs/experiments/mock/seed_2026/mlp/baseline/baseline_confusion.json;outputs/experiments/mock/seed_2026/mlp/noise/fixed_attacker/confusion.json;outputs/experiments/mock/seed_2026/mlp/noise/fixed_attacker/defense_report.json,,,,,,
0.1870860927152318,0.4718543046357616,0.4247204184595225,,,,mock,0.2847682119205298,0.2413098764190172,,,,,,,,,,,0.5005296539653346,,,noise,,retrain_attacker,mlp,0.5015420825948257,,,,,0.2088061834499174,,,,39.64912280701755,mock,2026,outputs/experiments/mock/seed_2026/mlp/baseline/baseline_confusion.json;outputs/experiments/mock/seed_2026/mlp/noise/retrain_attacker/confusion.json;outputs/experiments/mock/seed_2026/mlp/noise/retrain_attacker/defense_report.json,,,,,,
0.3449259083250529,0.4722426232341124,0.28874197100983,,,,casas_hh101,0.1273167149090595,0.1052574391674909,,,,,,,,,"(30, 6)",,0.2289944831716278,,,adaptive_ldp,,fixed_attacker,lstm,0.205873753274023,34.0,,,,0.5944848043435044,,,,73.03997804409478,real,42,outputs/experiments/casas_hh101/seed_42/lstm/baseline/baseline_confusion.json;outputs/experiments/casas_hh101/seed_42/lstm/adaptive_ldp/fixed_attacker/confusion.json;outputs/experiments/casas_hh101/seed_42/lstm/adaptive_ldp/fixed_attacker/defense_report.json;data/processed/casas_hh101/seed_42/meta.json,,23147.0,,,108019.0,23147.0
0.0343889056897222,0.4722426232341124,0.28874197100983,,,,casas_hh101,0.4378537175443902,0.1819105171736367,,,,,,,,,"(30, 6)",,0.2289944831716278,,,adaptive_ldp,,retrain_attacker,lstm,0.205873753274023,34.0,,,,0.5944848043435044,,,,7.28204189918581,real,42,outputs/experiments/casas_hh101/seed_42/lstm/baseline/baseline_confusion.json;outputs/experiments/casas_hh101/seed_42/lstm/adaptive_ldp/retrain_attacker/confusion.json;outputs/experiments/casas_hh101/seed_42/lstm/adaptive_ldp/retrain_attacker/defense_report.json;data/processed/casas_hh101/seed_42/meta.json,,23147.0,,,108019.0,23147.0
0.4374648982589536,0.4722426232341124,0.28874197100983,,,,casas_hh101,0.0347777249751587,0.0344558543770684,,,,,,,,,"(30, 6)",,0.5527017422179649,,,ldp,,fixed_attacker,lstm,1.0440614061133688,34.0,,,,0.2693621461914066,,,,92.63562345622542,real,42,outputs/experiments/casas_hh101/seed_42/lstm/baseline/baseline_confusion.json;outputs/experiments/casas_hh101/seed_42/lstm/ldp/fixed_attacker/confusion.json;outputs/experiments/casas_hh101/seed_42/lstm/ldp/fixed_attacker/defense_report.json;data/processed/casas_hh101/seed_42/meta.json,,23147.0,,,108019.0,23147.0
0.0975504385017497,0.4722426232341124,0.28874197100983,,,,casas_hh101,0.3746921847323627,0.1506007641008737,,,,,,,,,"(30, 6)",,0.5527017422179649,,,ldp,,retrain_attacker,lstm,1.0440614061133688,34.0,,,,0.2693621461914066,,,,20.65684749794164,real,42,outputs/experiments/casas_hh101/seed_42/lstm/baseline/baseline_confusion.json;outputs/experiments/casas_hh101/seed_42/lstm/ldp/retrain_attacker/confusion.json;outputs/experiments/casas_hh101/seed_42/lstm/ldp/retrain_attacker/defense_report.json;data/processed/casas_hh101/seed_42/meta.json,,23147.0,,,108019.0,23147.0
0.3925778718624444,0.4722426232341124,0.28874197100983,,,,casas_hh101,0.079664751371668,0.0846753687478826,,,,,,,,,"(30, 6)",,0.4999237492094546,,,noise,,fixed_attacker,lstm,0.4998324718261857,34.0,,,,0.4661712297498146,,,,83.13054615314245,real,42,outputs/experiments/casas_hh101/seed_42/lstm/baseline/baseline_confusion.json;outputs/experiments/casas_hh101/seed_42/lstm/noise/fixed_attacker/confusion.json;outputs/experiments/casas_hh101/seed_42/lstm/noise/fixed_attacker/defense_report.json;data/processed/casas_hh101/seed_42/meta.json,,23147.0,,,108019.0,23147.0
