event,packet_type,node,src,seq,bytes,time_ms,payload_time_ms,sim_time_ms,send_ms,recv_ms,delay_ms,line_number,raw_line
TX,REAL,2,,8,48,105020.0,104157,105020.0,,,,281,105020000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=8 bytes=48 time_ms=104157
RX,REAL,,2,8,48,105038.88,104535,105038.88,104157,104535,18.880000000004657,282,105038880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=8 send_ms=104157 recv_ms=104535 bytes=48
TX,REAL,7,,9,48,107193.0,106874,107193.0,,,,284,107193000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=9 bytes=48 time_ms=106874
TX,DUMMY,7,,4,48,107194.0,106875,107194.0,,,,285,107194000	ID:7	[INFO: Metric    ] METRIC_TX type=DUMMY node=7 seq=4 bytes=48 time_ms=106875
RX,REAL,,7,9,48,107209.88,106706,107209.88,106874,106706,16.880000000004657,286,107209880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=9 send_ms=106874 recv_ms=106706 bytes=48
RX,DUMMY,,7,4,48,107227.88,106724,107227.88,106875,106724,,288,107227880	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=7 seq=4 send_ms=106875 recv_ms=106724 bytes=48
TX,REAL,5,,7,48,107332.0,106995,107332.0,,,,290,107332000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=7 bytes=48 time_ms=106995
TX,REAL,6,,8,48,107380.072,106442,107380.072,,,,291,107380072	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=8 bytes=48 time_ms=106442
RX,REAL,,5,7,48,107380.168,106877,107380.168,106995,106877,48.16800000000512,292,107380168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=7 send_ms=106995 recv_ms=106877 bytes=48
TX,DUMMY,6,,1,48,107380.168,106442,107380.168,,,,293,107380168	ID:6	[INFO: Metric    ] METRIC_TX type=DUMMY node=6 seq=1 bytes=48 time_ms=106442
RX,REAL,,6,8,48,107402.88,106899,107402.88,106442,106899,22.80800000000454,294,107402880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=8 send_ms=106442 recv_ms=106899 bytes=48
RX,DUMMY,,6,1,48,107429.88,106926,107429.88,106442,106926,,295,107429880	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=6 seq=1 send_ms=106442 recv_ms=106926 bytes=48
TX,REAL,4,,7,48,111587.0,111294,111587.0,,,,299,111587000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=7 bytes=48 time_ms=111294
TX,DUMMY,4,,4,48,111588.0,111295,111588.0,,,,300,111588000	ID:4	[INFO: Metric    ] METRIC_TX type=DUMMY node=4 seq=4 bytes=48 time_ms=111295
RX,REAL,,4,7,48,111665.168,111162,111665.168,111294,111162,78.16800000000512,301,111665168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=7 send_ms=111294 recv_ms=111162 bytes=48
RX,DUMMY,,4,4,48,111682.304,111179,111682.304,111295,111179,,302,111682304	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=4 seq=4 send_ms=111295 recv_ms=111179 bytes=48
TX,REAL,3,,7,48,111923.0,111259,111923.0,,,,305,111923000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=7 bytes=48 time_ms=111259
RX,REAL,,3,7,48,111994.168,111491,111994.168,111259,111491,71.16800000000512,306,111994168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=7 send_ms=111259 recv_ms=111491 bytes=48
TX,REAL,5,,8,48,115333.0,114996,115333.0,,,,309,115333000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=8 bytes=48 time_ms=114996
