event,packet_type,node,src,seq,bytes,time_ms,payload_time_ms,sim_time_ms,send_ms,recv_ms,delay_ms,line_number,raw_line
RX,REAL,,6,6,48,84915.88,84484,84915.88,84746,84484,81.88000000000466,230,84915880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=6 send_ms=84746 recv_ms=84484 bytes=48
TX,REAL,2,,7,48,87375.0,86982,87375.0,,,,232,87375000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=7 bytes=48 time_ms=86982
TX,DUMMY,2,,1,48,87376.0,86983,87376.0,,,,233,87376000	ID:2	[INFO: Metric    ] METRIC_TX type=DUMMY node=2 seq=1 bytes=48 time_ms=86983
RX,REAL,,2,7,48,87391.88,86960,87391.88,86982,86960,16.880000000004657,234,87391880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=7 send_ms=86982 recv_ms=86960 bytes=48
RX,DUMMY,,2,1,48,87467.88,87036,87467.88,86983,87036,,236,87467880	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=2 seq=1 send_ms=86983 recv_ms=87036 bytes=48
TX,REAL,7,,7,48,89064.0,89042,89064.0,,,,238,89064000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=7 bytes=48 time_ms=89042
RX,REAL,,7,7,48,89069.88,88638,89069.88,89042,88638,5.880000000004657,239,89069880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=7 send_ms=89042 recv_ms=88638 bytes=48
TX,REAL,3,,6,48,91982.0,91770,91982.0,,,,241,91982000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=6 bytes=48 time_ms=91770
RX,REAL,,3,6,48,92038.168,91607,92038.168,91770,91607,56.16800000000512,242,92038168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=6 send_ms=91770 recv_ms=91607 bytes=48
TX,REAL,5,,6,48,92063.0,91093,92063.0,,,,244,92063000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=6 bytes=48 time_ms=91093
TX,REAL,4,,5,48,92081.0,91132,92081.0,,,,245,92081000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=5 bytes=48 time_ms=91132
RX,REAL,,5,6,48,92086.168,91655,92086.168,91093,91655,23.168000000005122,246,92086168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=6 send_ms=91093 recv_ms=91655 bytes=48
RX,REAL,,4,5,48,92179.168,91748,92179.168,91132,91748,98.16800000000512,249,92179168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=5 send_ms=91132 recv_ms=91748 bytes=48
TX,REAL,6,,7,48,93835.0,93747,93835.0,,,,251,93835000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=7 bytes=48 time_ms=93747
RX,REAL,,6,7,48,93876.88,93445,93876.88,93747,93445,41.88000000000466,252,93876880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=7 send_ms=93747 recv_ms=93445 bytes=48
TX,REAL,2,,8,48,97377.0,96984,97377.0,,,,254,97377000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=8 bytes=48 time_ms=96984
TX,DUMMY,2,,2,48,97378.0,96985,97378.0,,,,255,97378000	ID:2	[INFO: Metric    ] METRIC_TX type=DUMMY node=2 seq=2 bytes=48 time_ms=96985
RX,REAL,,2,8,48,97415.88,96984,97415.88,96984,96984,38.88000000000466,256,97415880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=8 send_ms=96984 recv_ms=96984 bytes=48
RX,DUMMY,,2,2,48,97431.88,97000,97431.88,96985,97000,,257,97431880	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=2 seq=2 send_ms=96985 recv_ms=97000 bytes=48
TX,REAL,7,,8,48,100065.0,100043,100065.0,,,,260,100065000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=8 bytes=48 time_ms=100043
RX,REAL,,7,8,48,100104.88,99673,100104.88,100043,99673,39.88000000000466,261,100104880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=8 send_ms=100043 recv_ms=99673 bytes=48
TX,REAL,3,,7,48,101983.0,101771,101983.0,,,,263,101983000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=7 bytes=48 time_ms=101771
RX,REAL,,3,7,48,102038.168,101607,102038.168,101771,101607,55.16800000000512,264,102038168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=7 send_ms=101771 recv_ms=101607 bytes=48
