dataset,profile_name,model_type,mode,epsilon_min,epsilon_max,weight_sensitivity,weight_traffic,use_edge_budget_cap,mean_baseline_acc,mean_defended_acc,mean_accuracy_drop,mean_defended_f1_macro,mean_mse,mean_mae,mean_pearson_r,num_seeds,source_file
kasteren,adaptive_strong_privacy,mlp,fixed_attacker,0.2,1.0,0.5,0.5,False,0.17962003454231426,0.013816925734024167,0.1658031088082901,0.0047974645598320995,2.792280768105123,0.8577475440577169,0.11052938344015013,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
kasteren,adaptive_strong_privacy,mlp,retrain_attacker,0.2,1.0,0.5,0.5,False,0.022452504317789234,0.0259067357512953,-0.0034542314335060335,0.0016576862927154667,2.792280768105123,0.8577475440577169,0.11052938344015013,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
kasteren,adaptive_weak_privacy,lstm,fixed_attacker,1.0,6.0,0.5,0.5,False,0.35405872193436955,0.13989637305699476,0.21416234887737473,0.11122611794504245,0.0863554522860478,0.1523061201332238,0.6500119858745982,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
kasteren,adaptive_weak_privacy,lstm,retrain_attacker,1.0,6.0,0.5,0.5,False,0.15716753022452498,0.13816925734024174,0.018998272884283234,0.08346352111883047,0.0863554522860478,0.1523061201332238,0.6500119858745982,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
kasteren,adaptive_weak_privacy,mlp,fixed_attacker,1.0,6.0,0.5,0.5,False,0.17962003454231426,0.04663212435233157,0.1329879101899827,0.009256275664380765,0.0863554522860478,0.1523061201332238,0.6500119858745982,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
kasteren,adaptive_weak_privacy,mlp,retrain_attacker,1.0,6.0,0.5,0.5,False,0.0241796200345423,0.029360967184801332,-0.0051813471502590676,0.006606966075886234,0.0863554522860478,0.1523061201332238,0.6500119858745982,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
kasteren,adaptive_sensitivity_only,lstm,fixed_attacker,0.4,4.0,1.0,0.0,False,0.35405872193436955,0.07426597582037993,0.2797927461139896,0.0627126414461474,0.21538086727203198,0.24101253348500296,0.4495767652227964,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
kasteren,adaptive_sensitivity_only,lstm,retrain_attacker,0.4,4.0,1.0,0.0,False,0.12435233160621756,0.08635578583765106,0.03799654576856647,0.048277552443087866,0.21538086727203198,0.24101253348500296,0.4495767652227964,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
kasteren,adaptive_sensitivity_only,mlp,fixed_attacker,0.4,4.0,1.0,0.0,False,0.17962003454231426,0.031088082901554365,0.1485319516407599,0.006131883138267134,0.21538086727203198,0.24101253348500296,0.4495767652227964,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
kasteren,adaptive_sensitivity_only,mlp,retrain_attacker,0.4,4.0,1.0,0.0,False,0.03799654576856647,0.034542314335060435,0.0034542314335060335,0.0027465923824420003,0.21538086727203198,0.24101253348500296,0.4495767652227964,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
